Régions,Sexe,Milieu,AgeRange,Population,,
Gouvernorat du Kef,Masculin,Rural,5-9  ans,3920,,
Gouvernorat du Kef,Masculin,Rural,10-14 ans,4044,,
Gouvernorat du Kef,Masculin,Rural,15-19 ans,4509,,
Gouvernorat du Kef,Masculin,Rural,20-29 ans,8485,,
Gouvernorat du Kef,Féminin,Communal,5-9  ans,4596,,
Gouvernorat du Kef,Féminin,Communal,10-14 ans,4618,,
Gouvernorat du Kef,Féminin,Communal,15-19 ans,5325,,
Gouvernorat du Kef,Féminin,Communal,20-29 ans,10106,,
Gouvernorat du Kef,Féminin,Rural,5-9  ans,3632,,
Gouvernorat du Kef,Féminin,Rural,10-14 ans,3798,,
Gouvernorat du Kef,Féminin,Rural,15-19 ans,4351,,
Gouvernorat du Kef,Féminin,Rural,20-29 ans,7643,,
Gouvernorat de Siliana,Masculin,Communal,5-9  ans,3819,,
Gouvernorat de Siliana,Masculin,Communal,10-14 ans,3574,,
Gouvernorat de Siliana,Masculin,Communal,15-19 ans,3617,,
Gouvernorat de Siliana,Masculin,Communal,20-29 ans,6432,,
Gouvernorat de Siliana,Masculin,Rural,5-9  ans,5424,,
Gouvernorat de Siliana,Masculin,Rural,10-14 ans,5320,,
Gouvernorat de Siliana,Masculin,Rural,15-19 ans,5565,,
Gouvernorat de Siliana,Masculin,Rural,20-29 ans,9513,,
Gouvernorat de Siliana,Féminin,Communal,5-9  ans,3472,,
Gouvernorat de Siliana,Féminin,Communal,10-14 ans,3410,,
Gouvernorat de Siliana,Féminin,Communal,15-19 ans,3766,,
Gouvernorat de Siliana,Féminin,Communal,20-29 ans,7624,,
Gouvernorat de Siliana,Féminin,Rural,5-9  ans,5000,,
Gouvernorat de Siliana,Féminin,Rural,10-14 ans,4971,,
Gouvernorat de Siliana,Féminin,Rural,15-19 ans,5589,,
Gouvernorat de Siliana,Féminin,Rural,20-29 ans,9506,,
Gouvernorat de Sousse,Masculin,Communal,5-9  ans,23091,,
Gouvernorat de Sousse,Masculin,Communal,10-14 ans,20386,,
Gouvernorat de Sousse,Masculin,Communal,15-19 ans,21542,,
Gouvernorat de Sousse,Masculin,Communal,20-29 ans,50657,,
Gouvernorat de Sousse,Masculin,Rural,5-9  ans,5875,,
Gouvernorat de Sousse,Masculin,Rural,10-14 ans,5082,,
Gouvernorat de Sousse,Masculin,Rural,15-19 ans,5517,,
Gouvernorat de Sousse,Masculin,Rural,20-29 ans,11564,,
Gouvernorat de Sousse,Féminin,Communal,5-9  ans,21004,,
Gouvernorat de Sousse,Féminin,Communal,10-14 ans,19102,,
Gouvernorat de Sousse,Féminin,Communal,15-19 ans,20383,,
Gouvernorat de Sousse,Féminin,Communal,20-29 ans,52179,,
Gouvernorat de Sousse,Féminin,Rural,5-9  ans,5375,,
Gouvernorat de Sousse,Féminin,Rural,10-14 ans,4806,,
Gouvernorat de Sousse,Féminin,Rural,15-19 ans,5167,,
Gouvernorat de Sousse,Féminin,Rural,20-29 ans,11135,,
Gouvernorat de Monastir,Masculin,Communal,5-9  ans,24387,,
Gouvernorat de Monastir,Masculin,Communal,10-14 ans,22786,,
Gouvernorat de Monastir,Masculin,Communal,15-19 ans,24188,,
Gouvernorat de Monastir,Masculin,Communal,20-29 ans,50404,,
Gouvernorat de Monastir,Féminin,Communal,5-9  ans,22861,,
Gouvernorat de Monastir,Féminin,Communal,10-14 ans,20993,,
Gouvernorat de Monastir,Féminin,Communal,15-19 ans,23817,,
Gouvernorat de Monastir,Féminin,Communal,20-29 ans,52966,,
Gouvernorat de Mahdia,Masculin,Communal,5-9  ans,8408,,
Gouvernorat de Mahdia,Masculin,Communal,10-14 ans,7744,,
Gouvernorat de Mahdia,Masculin,Communal,15-19 ans,7674,,
Gouvernorat de Mahdia,Masculin,Communal,20-29 ans,15060,,
Gouvernorat de Mahdia,Masculin,Rural,5-9  ans,10837,,
Gouvernorat de Mahdia,Masculin,Rural,10-14 ans,9663,,
Gouvernorat de Mahdia,Masculin,Rural,15-19 ans,9528,,
Gouvernorat de Mahdia,Masculin,Rural,20-29 ans,18138,,
Gouvernorat de Mahdia,Féminin,Communal,5-9  ans,7999,,
Gouvernorat de Mahdia,Féminin,Communal,10-14 ans,7258,,
Gouvernorat de Mahdia,Féminin,Communal,15-19 ans,7534,,
Gouvernorat de Mahdia,Féminin,Communal,20-29 ans,15702,,
Gouvernorat de Mahdia,Féminin,Rural,5-9  ans,10028,,
Gouvernorat de Mahdia,Féminin,Rural,10-14 ans,9045,,
Gouvernorat de Mahdia,Féminin,Rural,15-19 ans,9665,,
Gouvernorat de Mahdia,Féminin,Rural,20-29 ans,20264,,
Gouvernorat de Sfax,Masculin,Communal,5-9  ans,22950,,
Gouvernorat de Sfax,Masculin,Communal,10-14 ans,21265,,
Gouvernorat de Sfax,Masculin,Communal,15-19 ans,22744,,
