Régions,Milieu,Sexe,AgeRange,PopulationScolore,,
Gouvernorat de Kasserine,Non communal,Masculin,6-9,7972,,
Gouvernorat de Kasserine,Non communal,Masculin,10-14,9702,,
Gouvernorat de Kasserine,Non communal,Féminin,6-9,7403,,
Gouvernorat de Kasserine,Non communal,Féminin,10-14,8466,,
Gouvernorat de Sidi Bouzid,Communal,Masculin,6-9,3790,,
Gouvernorat de Sidi Bouzid,Communal,Masculin,10-14,4440,,
Gouvernorat de Sidi Bouzid,Communal,Féminin,6-9,3679,,
Gouvernorat de Sidi Bouzid,Communal,Féminin,10-14,4238,,
Gouvernorat de Sidi Bouzid,Non communal,Masculin,6-9,9513,,
Gouvernorat de Sidi Bouzid,Non communal,Masculin,10-14,10696,,
Gouvernorat de Sidi Bouzid,Non communal,Féminin,6-9,8704,,
Gouvernorat de Sidi Bouzid,Non communal,Féminin,10-14,10020,,
Gouvernorat de Gabès,Communal,Masculin,6-9,7893,,
Gouvernorat de Gabès,Communal,Masculin,10-14,9309,,
Gouvernorat de Gabès,Communal,Féminin,6-9,7660,,
Gouvernorat de Gabès,Communal,Féminin,10-14,8554,,
Gouvernorat de Gabès,Non communal,Masculin,6-9,3281,,
Gouvernorat de Gabès,Non communal,Masculin,10-14,3610,,
Gouvernorat de Gabès,Non communal,Féminin,6-9,2965,,
Gouvernorat de Gabès,Non communal,Féminin,10-14,3587,,
Gouvernorat de Medenine,Communal,Masculin,6-9,11969,,
Gouvernorat de Medenine,Communal,Masculin,10-14,14079,,
Gouvernorat de Medenine,Communal,Féminin,6-9,11066,,
Gouvernorat de Medenine,Communal,Féminin,10-14,12937,,
Gouvernorat de Medenine,Non communal,Masculin,6-9,3279,,
Gouvernorat de Medenine,Non communal,Masculin,10-14,3596,,
Gouvernorat de Medenine,Non communal,Féminin,6-9,3017,,
Gouvernorat de Medenine,Non communal,Féminin,10-14,3159,,
Gouvernorat de Tataouine,Communal,Masculin,6-9,2891,,
Gouvernorat de Tataouine,Communal,Masculin,10-14,3550,,
Gouvernorat de Tataouine,Communal,Féminin,6-9,2762,,
Gouvernorat de Tataouine,Communal,Féminin,10-14,3480,,
Gouvernorat de Tataouine,Non communal,Masculin,6-9,1738,,
