"Clé","Name (English)","اسم (العربية)","Nom (français)","ISO","Propriétaire (Id)","Propriétaire (Nom)"
"27682809","Diar El Hojaj","ديار الحجاج","Diar El Hojaj","","1554","Délégation de Korba"
"27682819","Korba Est","قربة الشرقية","Korba Est","","1554","Délégation de Korba"
"27682829","Korba Ouest","قربة الغربية","Korba Ouest","","1554","Délégation de Korba"
"27682839","Tazerka","تازركة","Tazerka","","1554","Délégation de Korba"
"27682849","Bou - Jerida","بوجريدة","Bou - Jerida","","1554","Délégation de Korba"
"27682859","Boulidine","بولدين","Boulidine","","1554","Délégation de Korba"
"1555","Delegation of Menzel Temime","معتمدية  منزل تميم","Délégation de Menzel Temime","","15","Gouvernorat de Nabeul"
"27682869","El Ouediane","الوديان","El Ouediane","","1555","Délégation de Menzel Temime"
"27682879","Erâinine","الرعينين","Erâinine","","1555","Délégation de Menzel Temime"
"27682889","Beni-Abdelaziz","بني عبد العزيز","Beni-Abdelaziz","","1555","Délégation de Menzel Temime"
"27682899","Skalba","الصقالبة","Skalba","","1555","Délégation de Menzel Temime"
"27682909","Ali Belhaouene","علي البلهوان","Ali Belhaouene","","1555","Délégation de Menzel Temime"
"27682919","Taieb Mehiri","الطيب المهيري","Taieb Mehiri","","1555","Délégation de Menzel Temime"
"27682929","Menzel Horr","منزل حر","Menzel Horr","","1555","Délégation de Menzel Temime"
"27682939","El Asfour","عصفور","El Asfour","","1555","Délégation de Menzel Temime"
"27682949","Lezdine","لزيدين","Lezdine","","1555","Délégation de Menzel Temime"
"1556","Delegation of El Mida","معتمدية  الميدة","Délégation de El Mida","","15","Gouvernorat de Nabeul"
"27682959","Tafelloum","تافلون","Tafelloum","","1556","Délégation de El Mida"
"27682969","El Mida","الميدة","El Mida","","1556","Délégation de El Mida"
"27682979","Fartouna","فرتونة","Fartouna","","1556","Délégation de El Mida"
"27682989","Oum Dhouil","أم ذويل","Oum Dhouil","","1556","Délégation de El Mida"
"27682999","Lebna","لبنة","Lebna","","1556","Délégation de El Mida"
"27683009","Korchine","القرشيين","Korchine","","1556","Délégation de El Mida"
"1557","Delegation of Kelibia","معتمدية  قليبية","Délégation de Kelibia","","15","Gouvernorat de Nabeul"
"27683019","Oued EL Khatf","وادي الخطف","Oued EL Khatf","","1557","Délégation de Kelibia"
"27683029","Melloul","ملول","Melloul","","1557","Délégation de Kelibia"
